Source,Target,Label,Type,Context,Source_Document,Weight,Chapter,Book_Vol,Description
brockhouses,burrowses,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,10,1,1,[N/A]
brockhouses,chubbs,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,9,1,1,[N/A]
brockhouses,grubbs,ORGANIZATION-PERSON,CO_OCCURRENCE,"waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,7,1,1,[N/A]
burrowses,chubbs,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted an elderly hobbit from the back of the pavilion. His",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,13,1,1,[N/A]
burrowses,grubbs,ORGANIZATION-PERSON,CO_OCCURRENCE,"in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted an elderly hobbit from the back of the pavilion. His",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,11,1,1,[N/A]
bolgers,goodbodies,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,10,1,1,[N/A]
bolgers,hornblowers,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,11,1,1,[N/A]
bolgers,proudfoots,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"Took grandfather); and a selection of Burrowses, Bolgers, Bracegirdles, Brockhouses, Goodbodies, Hornblowers and Proudfoots. Some of these were only very distantly connected with Bilbo, and some of them had hardly ever been in Hobbiton before, as they lived in remote corners of the Shire. The Sackville-Bagginses were not forgotten. Otho",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,8,1,1,[N/A]
brockhouses,goodbodies,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,9,1,1,[N/A]
brockhouses,hornblowers,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,9,1,1,[N/A]
brockhouses,proudfoots,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"Took grandfather); and a selection of Burrowses, Bolgers, Bracegirdles, Brockhouses, Goodbodies, Hornblowers and Proudfoots. Some of these were only very distantly connected with Bilbo, and some of them had hardly ever been in Hobbiton before, as they lived in remote corners of the Shire. The Sackville-Bagginses were not forgotten. Otho",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,8,1,1,[N/A]
burrowses,goodbodies,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,10,1,1,[N/A]
burrowses,hornblowers,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,10,1,1,[N/A]
burrowses,proudfoots,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"Took grandfather); and a selection of Burrowses, Bolgers, Bracegirdles, Brockhouses, Goodbodies, Hornblowers and Proudfoots. Some of these were only very distantly connected with Bilbo, and some of them had hardly ever been in Hobbiton before, as they lived in remote corners of the Shire. The Sackville-Bagginses were not forgotten. Otho",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,8,1,1,[N/A]
chubbs,goodbodies,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,9,1,1,[N/A]
chubbs,hornblowers,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,9,1,1,[N/A]
chubbs,proudfoots,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"various Chubbs (connexions of his Took grandfather); and a selection of Burrowses, Bolgers, Bracegirdles, Brockhouses, Goodbodies, Hornblowers and Proudfoots. Some of these were only very distantly connected with Bilbo, and some of them had hardly ever been in Hobbiton before, as they lived in remote corners of the Shire. The",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,7,1,1,[N/A]
goodbodies,grubbs,ORGANIZATION-PERSON,CO_OCCURRENCE,"waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,7,1,1,[N/A]
goodbodies,hornblowers,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,11,1,1,[N/A]
goodbodies,proudfoots,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"Goodbodies, Hornblowers and Proudfoots. Some of these were only very distantly connected with Bilbo, and some of them had hardly ever been in Hobbiton before, as they lived in remote corners of the Shire. The Sackville-Bagginses were not forgotten. Otho and his wife Lobelia were present. They disliked Bilbo and",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,9,1,1,[N/A]
grubbs,hornblowers,PERSON-ORGANIZATION,CO_OCCURRENCE,"waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,7,1,1,[N/A]
grubbs,proudfoots,PERSON-ORGANIZATION,CO_OCCURRENCE,"there were various Grubbs (relations of Bilbo Baggins' grandmother), and various Chubbs (connexions of his Took grandfather); and a selection of Burrowses, Bolgers, Bracegirdles, Brockhouses, Goodbodies, Hornblowers and Proudfoots. Some of these were only very distantly connected with Bilbo, and some of them had hardly ever been in Hobbiton before,",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,5,1,1,[N/A]
hornblowers,proudfoots,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"Goodbodies, Hornblowers and Proudfoots. Some of these were only very distantly connected with Bilbo, and some of them had hardly ever been in Hobbiton before, as they lived in remote corners of the Shire. The Sackville-Bagginses were not forgotten. Otho and his wife Lobelia were present. They disliked Bilbo and",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,9,1,1,[N/A]
bolgers,old took,ORGANIZATION-PERSON,CO_OCCURRENCE,"Took grandfather); and a selection of Burrowses, Bolgers, Bracegirdles, Brockhouses, Goodbodies, Hornblowers and Proudfoots. Some of these were only very distantly connected with Bilbo, and some of them had hardly ever been in Hobbiton before, as they lived in remote corners of the Shire. The Sackville-Bagginses were not forgotten. Otho",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,3,1,1,[N/A]
brockhouses,old took,ORGANIZATION-PERSON,CO_OCCURRENCE,"Took grandfather); and a selection of Burrowses, Bolgers, Bracegirdles, Brockhouses, Goodbodies, Hornblowers and Proudfoots. Some of these were only very distantly connected with Bilbo, and some of them had hardly ever been in Hobbiton before, as they lived in remote corners of the Shire. The Sackville-Bagginses were not forgotten. Otho",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,3,1,1,[N/A]
burrowses,old took,ORGANIZATION-PERSON,CO_OCCURRENCE,"Took grandfather); and a selection of Burrowses, Bolgers, Bracegirdles, Brockhouses, Goodbodies, Hornblowers and Proudfoots. Some of these were only very distantly connected with Bilbo, and some of them had hardly ever been in Hobbiton before, as they lived in remote corners of the Shire. The Sackville-Bagginses were not forgotten. Otho",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,3,1,1,[N/A]
chubbs,old took,ORGANIZATION-PERSON,CO_OCCURRENCE,"various Chubbs (connexions of his Took grandfather); and a selection of Burrowses, Bolgers, Bracegirdles, Brockhouses, Goodbodies, Hornblowers and Proudfoots. Some of these were only very distantly connected with Bilbo, and some of them had hardly ever been in Hobbiton before, as they lived in remote corners of the Shire. The",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,2,1,1,[N/A]
goodbodies,old took,ORGANIZATION-PERSON,CO_OCCURRENCE,"Took grandfather); and a selection of Burrowses, Bolgers, Bracegirdles, Brockhouses, Goodbodies, Hornblowers and Proudfoots. Some of these were only very distantly connected with Bilbo, and some of them had hardly ever been in Hobbiton before, as they lived in remote corners of the Shire. The Sackville-Bagginses were not forgotten. Otho",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,3,1,1,[N/A]
grubbs,old took,PERSON-PERSON,CO_OCCURRENCE,"there were various Grubbs (relations of Bilbo Baggins' grandmother), and various Chubbs (connexions of his Took grandfather); and a selection of Burrowses, Bolgers, Bracegirdles, Brockhouses, Goodbodies, Hornblowers and Proudfoots. Some of these were only very distantly connected with Bilbo, and some of them had hardly ever been in Hobbiton before,",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,11,1,1,[N/A]
hornblowers,old took,ORGANIZATION-PERSON,CO_OCCURRENCE,"Took grandfather); and a selection of Burrowses, Bolgers, Bracegirdles, Brockhouses, Goodbodies, Hornblowers and Proudfoots. Some of these were only very distantly connected with Bilbo, and some of them had hardly ever been in Hobbiton before, as they lived in remote corners of the Shire. The Sackville-Bagginses were not forgotten. Otho",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,3,1,1,[N/A]
old took,proudfoots,PERSON-ORGANIZATION,CO_OCCURRENCE,"Took grandfather); and a selection of Burrowses, Bolgers, Bracegirdles, Brockhouses, Goodbodies, Hornblowers and Proudfoots. Some of these were only very distantly connected with Bilbo, and some of them had hardly ever been in Hobbiton before, as they lived in remote corners of the Shire. The Sackville-Bagginses were not forgotten. Otho",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,3,1,1,[N/A]
grubbs,tooks and brandybucks,PERSON-PERSON,CO_OCCURRENCE,"beaming face; the golden buttons shone on his embroidered silk waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,14,1,1,[N/A]
burrowses,tooks and brandybucks,ORGANIZATION-PERSON,CO_OCCURRENCE,"beaming face; the golden buttons shone on his embroidered silk waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,10,1,1,[N/A]
chubbs,tooks and brandybucks,ORGANIZATION-PERSON,CO_OCCURRENCE,"beaming face; the golden buttons shone on his embroidered silk waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,11,1,1,[N/A]
odo proudfoot,proudfoots,PERSON-ORGANIZATION,CO_OCCURRENCE,"began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted an elderly hobbit from the back of the pavilion. His name, of course, was Proudfoot, and well merited; his feet were large, exceptionally furry, and",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,2,1,1,[N/A]
master everard took,miss melilot brandybuck,PERSON-PERSON,CO_OCCURRENCE,"Master Everard Took and Miss Melilot Brandybuck got on a table and with bells in their hands began to dance the Springle-ring: a pretty dance, but rather vigorous. But Bilbo had not finished. Seizing a horn from a youngster near by, he blew three loud hoots. The noise subsided. _I",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,9,1,1,[N/A]
esgaroth,long lake,LOCATION-LOCATION,CO_OCCURRENCE,"barrel at Esgaroth on the Long Lake; though the fact that it was_ my _birthday slipped my memory on that occasion. I was only fifty-one then, and birthdays did not seem so important. The banquet was very splendid, however, though I had a bad cold at the time, I remember,",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,8,1,1,[N/A]
brandybuck,chubb,LOCATION-PERSON,CO_OCCURRENCE,"Boffin, Took, Brandybuck, Grubb, Chubb, Burrows, Bolger, Bracegirdle, Brockhouse, Goodbody, Hornblower, and Proudfoot began to talk at once. It was generally agreed that the joke was in very bad taste, and more food and drink were needed to cure the guests of shock and annoyance. 'He's mad. I always said",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,10,1,1,[N/A]
brandybuck,odo proudfoot,LOCATION-PERSON,CO_OCCURRENCE,"Boffin, Took, Brandybuck, Grubb, Chubb, Burrows, Bolger, Bracegirdle, Brockhouse, Goodbody, Hornblower, and Proudfoot began to talk at once. It was generally agreed that the joke was in very bad taste, and more food and drink were needed to cure the guests of shock and annoyance. 'He's mad. I always said",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,9,1,1,[N/A]
chubb,odo proudfoot,PERSON-PERSON,CO_OCCURRENCE,"Boffin, Took, Brandybuck, Grubb, Chubb, Burrows, Bolger, Bracegirdle, Brockhouse, Goodbody, Hornblower, and Proudfoot began to talk at once. It was generally agreed that the joke was in very bad taste, and more food and drink were needed to cure the guests of shock and annoyance. 'He's mad. I always said",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,9,1,1,[N/A]
chubb,old took,PERSON-PERSON,CO_OCCURRENCE,"Boffin, Took, Brandybuck, Grubb, Chubb, Burrows, Bolger, Bracegirdle, Brockhouse, Goodbody, Hornblower, and Proudfoot began to talk at once. It was generally agreed that the joke was in very bad taste, and more food and drink were needed to cure the guests of shock and annoyance. 'He's mad. I always said",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,10,1,1,[N/A]
odo proudfoot,old took,PERSON-PERSON,CO_OCCURRENCE,"Boffin, Took, Brandybuck, Grubb, Chubb, Burrows, Bolger, Bracegirdle, Brockhouse, Goodbody, Hornblower, and Proudfoot began to talk at once. It was generally agreed that the joke was in very bad taste, and more food and drink were needed to cure the guests of shock and annoyance. 'He's mad. I always said",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,9,1,1,[N/A]
brandybuck,brockhouse,LOCATION-PERSON,CO_OCCURRENCE,"Boffin, Took, Brandybuck, Grubb, Chubb, Burrows, Bolger, Bracegirdle, Brockhouse, Goodbody, Hornblower, and Proudfoot began to talk at once. It was generally agreed that the joke was in very bad taste, and more food and drink were needed to cure the guests of shock and annoyance. 'He's mad. I always said",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,9,1,1,[N/A]
brandybuck,goodbody,LOCATION-PERSON,CO_OCCURRENCE,"Boffin, Took, Brandybuck, Grubb, Chubb, Burrows, Bolger, Bracegirdle, Brockhouse, Goodbody, Hornblower, and Proudfoot began to talk at once. It was generally agreed that the joke was in very bad taste, and more food and drink were needed to cure the guests of shock and annoyance. 'He's mad. I always said",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,9,1,1,[N/A]
brockhouse,chubb,PERSON-PERSON,CO_OCCURRENCE,"Boffin, Took, Brandybuck, Grubb, Chubb, Burrows, Bolger, Bracegirdle, Brockhouse, Goodbody, Hornblower, and Proudfoot began to talk at once. It was generally agreed that the joke was in very bad taste, and more food and drink were needed to cure the guests of shock and annoyance. 'He's mad. I always said",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,9,1,1,[N/A]
brockhouse,goodbody,PERSON-PERSON,CO_OCCURRENCE,"Burrows, Bolger, Bracegirdle, Brockhouse, Goodbody, Hornblower, and Proudfoot began to talk at once. It was generally agreed that the joke was in very bad taste, and more food and drink were needed to cure the guests of shock and annoyance. 'He's mad. I always said so,' was probably the most",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,10,1,1,[N/A]
brockhouse,old took,PERSON-PERSON,CO_OCCURRENCE,"Boffin, Took, Brandybuck, Grubb, Chubb, Burrows, Bolger, Bracegirdle, Brockhouse, Goodbody, Hornblower, and Proudfoot began to talk at once. It was generally agreed that the joke was in very bad taste, and more food and drink were needed to cure the guests of shock and annoyance. 'He's mad. I always said",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,9,1,1,[N/A]
chubb,goodbody,PERSON-PERSON,CO_OCCURRENCE,"Boffin, Took, Brandybuck, Grubb, Chubb, Burrows, Bolger, Bracegirdle, Brockhouse, Goodbody, Hornblower, and Proudfoot began to talk at once. It was generally agreed that the joke was in very bad taste, and more food and drink were needed to cure the guests of shock and annoyance. 'He's mad. I always said",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,9,1,1,[N/A]
goodbody,old took,PERSON-PERSON,CO_OCCURRENCE,"Boffin, Took, Brandybuck, Grubb, Chubb, Burrows, Bolger, Bracegirdle, Brockhouse, Goodbody, Hornblower, and Proudfoot began to talk at once. It was generally agreed that the joke was in very bad taste, and more food and drink were needed to cure the guests of shock and annoyance. 'He's mad. I always said",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,9,1,1,[N/A]
brockhouse,odo proudfoot,PERSON-PERSON,CO_OCCURRENCE,"Burrows, Bolger, Bracegirdle, Brockhouse, Goodbody, Hornblower, and Proudfoot began to talk at once. It was generally agreed that the joke was in very bad taste, and more food and drink were needed to cure the guests of shock and annoyance. 'He's mad. I always said so,' was probably the most",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,9,1,1,[N/A]
